Browse	Prehľadávať
Encapsulated PostScript File	Súbor Encapsulated PostScript
OS/2 Metafile	OS/2 Metafile
Macintosh Picture Metafile	Macintosh Picture Metafile
Microsoft Windows Metafile	Microsoft Windows Metafile
Microsoft Windows Bitmap File	Microsoft Windows Bitmap File
CorelDraw File	Súbor CorelDraw
Corel Presentation Exchange File	Súbor Corel Presentation Exchange
Graphics Interchange Format File	Súbor Graphics Interchange Format
Joint Photographic Experts Group File	Súbor Joint Photographic Experts Group
Portable Bitmap Format File	Portable Bitmap Format File
Personal Computer Exchange File	Súbor Personal Computer ExchangeI
Portable Graymap Format File	Súbor Portable Graymap Format
Portable Network Graphics File	Portable Network Graphics File
Portable Pixmap Format File	Súbor Portable Pixmap Format
Adobe Photoshop Document	Adobe Photoshop Dokument
Sun Raster Graphic File	Súbor Sun Raster Graphic
Scalable Vector Graphics File	Scalable Vector Graphics File
Truevision TGA File	Súbor Truevision TGA
Tagged Image File	Tagged Image File
X BitMap File	X BitMap File
X Pixmap File	Súbor X Pixmap
Kodak Photo CD Image File	Súbor Kodak Photo CD Image
Useful %PRODUCTNAME extensions.	Užitočné %PRODUCTNAME rozšírenia.
MediaWiki Publisher	MediaWiki Publisher
Numbertext	Numbertext
Convert Text to Number	Konvertovať text na čísla
LanguageTool Open Source language checker	Open source kontrola gramatiky LanguageTool
Script provider for BeanShell	Podpora skriptovania pre BeanShell
Script provider for JavaScript	Podpora skriptovania pre JavaScript
GNOME Integration	Integrácia do GNOME
System integration of %PRODUCTNAME %PRODUCTVERSION into GNOME Desktop Environment.	Systémová integrácia %PRODUCTNAME %PRODUCTVERSION do pracovného prostredia Gnome.
Image Filters	Obrázkové filtre
Additional filters required to read alien image formats.	Ďalšie filtre potrebné na čítanie cudzích grafických formátov.
Adobe Photoshop Import Filter	Adobe Photoshop Importovací filter
TGA Import	Import TGA
TGA TrueVision TARGA Import Filter	Importovací filter TGA TrueVision TARGA
EPS Import/Export Filter	EPS Importovací/exportovací filter
Encapsulated Postscript Import/Export Filter	Encapsulated Postscript Importovací/exportovací filter
XPM Export Filter	XPM exportovací filter
Portable Bitmap Import/Export	Importovať/exportovať Portable Bitmap
Portable Bitmap Import/Export Filters	Importovací/Exportovací filter formátu Portable Bitmap
SUN Rasterfile Import/Export	SUN Rasterfile Importovací/exportovací filter
SUN Rasterfile Import/Export Filters	SUN Rasterfile Importovací/exportovací filter
AutoCAD Import	Import AutoCAD
AutoCAD Import Filter	Importovací filter AutoCAD
Kodak Photo-CD Import	Import Kodak Photo-CD
Kodak Photo-CD Import Filter	Importovací filter Kodak Photo-CD
Mac-Pict Import/Export	Mac-Pict Importovací/exportovací filter
Mac-Pict Import/Export Filters	Mac-Pict Importovací/Exportovací filter
OS/2 Metafile Import/Export	OS/2 Meta súbor importovací/exportovací filter
OS/2 Metafile Import/Export Filters	OS/2 Metafile importovací/exportovací filter
PCX Import	Import PCX
Z-Soft PCX Import	Import Z-Soft PCX
TIFF Import/Export	Importovať/exportovať TIFF
TIFF Import and Export Filter	Importovací a exportovací filter TIFF
SVG Export	Exportovať SVG
SVG Export Filter	Exportovací filter SVG
Create and edit presentations for slideshows, meeting and Web pages by using Impress.	Vytvárajte a upravujte prezentácie pre porady s stretnutia s použitím Impress.
Create and edit presentations for slideshows, meeting and Web pages by using %PRODUCTNAME Impress.	Vytvárajte a upravujte prezentácie pre porady a stretnutia pomocou %PRODUCTNAME Impress.
The application %PRODUCTNAME Impress	Aplikácia %PRODUCTNAME Impress
%PRODUCTNAME Impress Help	Pomocník pre %PRODUCTNAME Impress
Help about %PRODUCTNAME Impress	Pomocník pre %PRODUCTNAME Impress
%SXWFORMATNAME %SXWFORMATVERSION Presentation	Prezentácia %SXWFORMATNAME %SXWFORMATVERSION
%SXWFORMATNAME %SXWFORMATVERSION Presentation Template	Šablóna prezentácie%SXWFORMATNAME %SXWFORMATVERSION
OpenDocument Presentation	Prezentácia OpenDocument
OpenDocument Presentation Template	Šablóna prezentácie OpenDocument
Microsoft PowerPoint 97-2003 Presentation	Prezentácia Microsoft PowerPoint 97-2003
Microsoft PowerPoint 97-2003 Template	Šablóna Microsoft PowerPoint 97-2003
Uniform Office Format Presentation	Prezentácia Uniform Office Format
Computer Graphics Metafile	Computer Graphics Metafile
KDE Integration	Integrácia do KDE
System integration of %PRODUCTNAME %PRODUCTVERSION into KDE.	Systémová integrácia %PRODUCTNAME %PRODUCTVERSION do KDE.
Create and edit scientific formulas and equations by using Math.	Vytvárajte a upravujte vedecké vzorce a výrazy s použitím Math.
Create and edit scientific formulas and equations by using %PRODUCTNAME Math.	Vytvárajte a upravujte vedecké vzorce a výrazy s použitím %PRODUCTNAME Math.
The application %PRODUCTNAME Math	Aplikácia %PRODUCTNAME Math
%PRODUCTNAME Math Help	Pomocník pre %PRODUCTNAME Math
Help about %PRODUCTNAME Math	Pomocník pre %PRODUCTNAME Math
%SXWFORMATNAME %SXWFORMATVERSION Formula	Vzorec %SXWFORMATNAME %SXWFORMATVERSION
OpenDocument Formula	OpenDocument Vzorec
Get automatically notified when a new update of %PRODUCTNAME becomes available.	Automatické upozornenie v prípade vydania novej aktualizácie %PRODUCTNAME.
From Template	Zo šablóny
%PRODUCTNAME (Safe Mode)	%PRODUCTNAME (núdzový režim)
Additional help packs	Ďalšie balíky pomocníka
English (United States)	Angličtina (USA)
Installs English (United States) help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje do %PRODUCTNAME %PRODUCTVERSION pomocníka v americkej angličtine
German	nemčina
Installs German help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v nemčine v %PRODUCTNAME %PRODUCTVERSION
French	francúzština
Installs French help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v francúzštine v %PRODUCTNAME %PRODUCTVERSION
Italian	taliančina
Installs Italian help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v taliančine v %PRODUCTNAME %PRODUCTVERSION
Spanish	španielčina
Installs Spanish help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v španielčine v %PRODUCTNAME %PRODUCTVERSION
Swedish	švédčina
Installs Swedish help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v švédčine v %PRODUCTNAME %PRODUCTVERSION
Portuguese	portugalčina
Installs Portuguese help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v portugalčine v %PRODUCTNAME %PRODUCTVERSION
Portuguese (Brazil)	portugalčina (Brazília)
Installs Portuguese (Brazil) help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v portugalčine (Brazília) v %PRODUCTNAME %PRODUCTVERSION
Japanese	japončina
Installs Japanese help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v japončine v %PRODUCTNAME %PRODUCTVERSION
Korean	kórejčina
Installs Korean help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v kórejčine v %PRODUCTNAME %PRODUCTVERSION
Chinese (simplified)	zjednodušená čínština
Installs Chinese (simplified) help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v čínštine (zjednodušenej) v %PRODUCTNAME %PRODUCTVERSION
Chinese (traditional)	čínština (tradičná)
Installs Chinese (traditional) help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v čínštine (tradičnej) v %PRODUCTNAME %PRODUCTVERSION
Dutch	holandčina
Installs Dutch help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v holandčine v %PRODUCTNAME %PRODUCTVERSION
Hungarian	maďarčina
Installs Hungarian help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v maďarčine v %PRODUCTNAME %PRODUCTVERSION
Polish	poľština
Installs Polish help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v poľštine v %PRODUCTNAME %PRODUCTVERSION
Russian	ruština
Installs Russian help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v ruštine v %PRODUCTNAME %PRODUCTVERSION
Turkish	turečtina
Installs Turkish help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v turečtina v %PRODUCTNAME %PRODUCTVERSION
Greek	gréčtina
Installs Greek help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v gréčtine v %PRODUCTNAME %PRODUCTVERSION
Thai	thajčina
Installs Thai help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v thajčine v %PRODUCTNAME %PRODUCTVERSION
Czech	čeština
Installs Czech help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v češtine v %PRODUCTNAME %PRODUCTVERSION
Slovak	slovenčina
Installs Slovak help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v slovenčine v %PRODUCTNAME %PRODUCTVERSION
Croatian	chorvátčina
Installs Croatian help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v chorvátčine v %PRODUCTNAME %PRODUCTVERSION
Estonian	estónčina
Installs Estonian help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v estónčine v %PRODUCTNAME %PRODUCTVERSION
Vietnamese	vietnamčina
Installs Vietnamese help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v vietnamčine v %PRODUCTNAME %PRODUCTVERSION
Bulgarian	bulharčina
Installs Bulgarian help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v bulharčine v %PRODUCTNAME %PRODUCTVERSION
Khmer	khmérčina
Installs Khmer help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v khmérčine v %PRODUCTNAME %PRODUCTVERSION
Punjabi	pandžábčina
Installs Punjabi help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v pandžábčine v %PRODUCTNAME %PRODUCTVERSION
Tamil	tamilčina
Installs Tamil help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v tamilčine v %PRODUCTNAME %PRODUCTVERSION
Hindi	hindčina
Installs Hindi help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v hindčine v %PRODUCTNAME %PRODUCTVERSION
Southern Sotho (Sutu)	južná sothčina (Sutu)
Installs Southern Sotho (Sutu) help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v južnej sothčine (Sutu) v %PRODUCTNAME %PRODUCTVERSION
Tswana	čwančina
Installs Tswana help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v jazyku tswana v %PRODUCTNAME %PRODUCTVERSION
Xhosa	xhosa
Installs Xhosa help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v jazyku xhosa v %PRODUCTNAME %PRODUCTVERSION
Zulu	zuluština
Installs Zulu help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v jazyku zulu v %PRODUCTNAME %PRODUCTVERSION
Afrikaans	afrikánčina
Installs Afrikaans help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v afrikánčine v %PRODUCTNAME %PRODUCTVERSION
Swahili	svahilčina
Installs Swahili help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v svahilčine v %PRODUCTNAME %PRODUCTVERSION
Lao	laoština
Installs Lao help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v laoštine v %PRODUCTNAME %PRODUCTVERSION
Northern Sotho	severná sothčina
Installs Northern Sotho help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v severnej sothčine v %PRODUCTNAME %PRODUCTVERSION
Bengali (Bangladesh)	bengálčina (Bangladéš)
Installs Bengali (Bangladesh) help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v bengálčine (Bangladéš) do %PRODUCTNAME %PRODUCTVERSION
Bengali (India)	bengálčina (India)
Installs Bengali (India) help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v bengálčine (India) do %PRODUCTNAME %PRODUCTVERSION
Odia	urijčina
Installs Odia help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v jazyku Odia v %PRODUCTNAME %PRODUCTVERSION
Marathi	marátčina
Installs Marathi help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v marátčine v %PRODUCTNAME %PRODUCTVERSION
Nepali	nepálčina
Installs Nepali help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v nepálčine v %PRODUCTNAME %PRODUCTVERSION
Arabic	arabčina
Installs Arabic help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v arabčine v %PRODUCTNAME %PRODUCTVERSION
Catalan	katalánčina
Installs Catalan help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v katalánčine v %PRODUCTNAME %PRODUCTVERSION
Catalan (Valencian)	katalánčina (Valencia)
Installs Catalan (Valencian) help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v katalánčine (Valencia) v %PRODUCTNAME %PRODUCTVERSION
Danish	dánčina
Installs Danish help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v dánčine v %PRODUCTNAME %PRODUCTVERSION
Finnish	fínčina
Installs Finnish help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v fínčine v %PRODUCTNAME %PRODUCTVERSION
Hebrew	hebrejčina
Installs Hebrew help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v hebrejčine v %PRODUCTNAME %PRODUCTVERSION
Icelandic	islandčina
Installs Icelandic help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v islandčine v %PRODUCTNAME %PRODUCTVERSION
Norwegian (Bokmål)	nórsky (bokmål)
Installs Norwegian (Bokmål) help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v nórčine (Bokmål) v %PRODUCTNAME %PRODUCTVERSION
Norwegian (Nynorsk)	nórsky nynorsk
Installs Norwegian (Nynorsk) help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v nórčine (Nynorsk) v %PRODUCTNAME %PRODUCTVERSION
Romanian	rumunčina
Installs Romanian help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v rumunčine v %PRODUCTNAME %PRODUCTVERSION
Albanian	albánčina
Installs Albanian help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v albánčine v %PRODUCTNAME %PRODUCTVERSION
Indonesian	indonézčina
Installs Indonesian help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v indonézčine v %PRODUCTNAME %PRODUCTVERSION
Ukrainian	ukrajinčina
Installs Ukrainian help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v ukrajinčine v %PRODUCTNAME %PRODUCTVERSION
Belarusian	bieloruština
Installs Belarusian help in %PRODUCTNAME %PRODUCTVERSION	Nainštaluje pomocníka v bieloruštine v %PRODUCTNAME %PRODUCTVERSION
